;Data;Sinal de Compra (MACD);Compra_MACD_1;Compra_MACD_2;Compra_MACD_3;Compra_MACD_5;Compra_MACD_7;Compra_MACD_9;Compra_MACD_14;Compra_MACD_21
1036;2017-03-15;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1035;2017-03-16;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1034;2017-03-17;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1033;2017-03-20;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1032;2017-03-21;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1031;2017-03-22;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1030;2017-03-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1029;2017-03-24;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1028;2017-03-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1027;2017-03-28;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1026;2017-03-29;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1025;2017-03-30;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1024;2017-03-31;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1023;2017-04-03;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1022;2017-04-04;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1021;2017-04-05;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1020;2017-04-06;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1019;2017-04-07;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1018;2017-04-10;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1017;2017-04-11;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1016;2017-04-12;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1015;2017-04-13;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1014;2017-04-17;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1013;2017-04-18;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1012;2017-04-19;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1011;2017-04-20;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1010;2017-04-24;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1009;2017-04-25;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1008;2017-04-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1007;2017-04-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1006;2017-04-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1005;2017-05-02;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1004;2017-05-03;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1003;2017-05-04;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1002;2017-05-05;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1001;2017-05-08;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1000;2017-05-09;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
999;2017-05-10;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
